"","Name_of_product","price","delivery_cost","reviews","quantity_sold","dispatch_from","seller_name","url"
"1","Whale Painting, Watercolor Painting, Whale Print, Whale and Boat, Whale Art, Whale Nursery, Humpback Whale, Print titled, ""Fathoms Below""","16.86","22.13","5507","25227","United States","Rachel Byler","https://www.etsy.com/sg-en/listing/246227091/whale-painting-watercolor-painting-whale?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-1&etp=1"
"2","Octopus watercolor painting print by Slaveika Aladjova, art, animal, illustration, Sea art, sea life art, home decor, extra large print","40.75","11.24","2995","18934","Bulgaria","Slaveika Aladjova","https://www.etsy.com/sg-en/listing/232577105/octopus-watercolor-painting-print-by?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-2"
"3","The Little Prince, Inspirational Quote Prints, Nursery Prints, Original  Art, Watercolor Print, Le Petit Prince, House Décor Print","65.31","Free","155","713","Greece","Mali","https://www.etsy.com/sg-en/listing/279713406/the-little-prince-inspirational-quote?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-3&frs=1"
"4","Zen Painting Watercolor Painting Office Art Print Abstract Painting Contemporary Art Abstract Painting Large Wall Art Bathroom Decor","47.78","19.60","762","5353","United States","Lis Scott","https://www.etsy.com/sg-en/listing/263625360/zen-painting-watercolor-painting-office?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-4"
"5","Rowboat Alone at sea, Watercolor, archival print from original painting, seascape, landscape art, My Maine On A Foggy Day","77.29","20.36","391","2032","United States","naomi","https://www.etsy.com/sg-en/listing/247020065/rowboat-alone-at-sea-watercolor-archival?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-5&bes=1"
"6","Custom pet portrait. Original watercolor painting. Dog portrait. Pet portrait. Pet portrait comission. Dog lover. Dog art","84.32","26.69","329","1196","Italy","Kristina","https://www.etsy.com/sg-en/listing/236825391/custom-pet-portrait-original-watercolor?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-6"
"7","Whale Print Whales Under The Sea Watercolor Painting Whale Art Whale Gift Wall Art Nautical Decor Beach Bathroom Decor Orca Home Wall Decor","8.43","14.05","6219","38737","Australia","Littlecatdraw","https://www.etsy.com/sg-en/listing/288345831/whale-print-whales-under-the-sea?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-7&pro=1"
"8","Pho recipe poster, Vietnam food print, Asian kitchen art, Vietnamese restaurant wall decor, Watercolor painting, Cuisine artwork, 8X10 gift","61.83","19.60","1165","5","France","Lucile","https://www.etsy.com/sg-en/listing/96016770/pho-recipe-poster-vietnam-food-print?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-8&etp=1"
"9","Cotton Bolls Watercolor Painting, Cotton Watercolor Painting, Cotton set of 2 Flowers, Brown Beige Home Decor, Shabby Chic Wall Art Print","65.31","Free","5298","5","Poland","Joanna Szmerdt","https://www.etsy.com/sg-en/listing/287987383/cotton-bolls-watercolor-painting-cotton?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-9&frs=1&etp=1"
"10","Deer watercolor painting print by Eric Sweet - doe, wall art, home decor, gift for her, nursery room, nature, forest, buck, woodlands","35.13","42.16","1280","6337","United States","Eric Sweet","https://www.etsy.com/sg-en/listing/270693796/deer-watercolor-painting-print-by-eric?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-1-10"
